Language,lat_str,lon_str,genus,family,countrycodes,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
Abau,-4.0,141.25,Upper Sepik,Sepik,PG,Threatened ,7000,Pacific,-3.97, 141.32
Alabama,32.3333333333,-87.4166666667,Muskogean,Muskogean,US,Endangered ,250,North America,30.7158,-94.7028
Arbore,5.0,36.75,Lowland East Cushitic,Afro-Asiatic,ET,Threatened ,4441,Africa,5.0,36.75
Abun,-0.5,132.5,North-Central Bird's Head,West Papuan,ID,Threatened ,3000,Southeast Asia,-0.52, 132.19
Abui,-8.25,124.666666667,Greater Alor,Timor-Alor-Pantar,ID,Threatened ,16000,Southeast Asia,,
Abaza,44.0,42.0,Northwest Caucasian,Northwest Caucasian,RU,Vulnerable ,47880,Caucasus;Europe;East Asia,44.0,42.0
Achagua,4.41666666667,-72.25,Inland Northern Arawakan,Arawakan,CO,Endangered ,283,South America,4.41666666667,-72.25
Aché,-25.25,-55.1666666667,Tupi-Guaraní,Tupian,PY,Severely Endangered ,200,South America,-25.25,-55.1666666667
Achumawi,41.5,-121.0,Palaihnihan,Hokan,US,Critically Endangered ,10,North America,41.320107,-121.129761
Achuar,-2.66667,-76.0,Jivaroan,Jivaroan,PE,Threatened ,5443,South America,-2.876318, -77.586775
Adamorobe Sign Language,5.833333333330001,-0.166666666667,Sign Languages,other,GH,Threatened ,35,Africa,5.859378, -0.197951
Adang,-8.2,124.0,Greater Alor,Timor-Alor-Pantar,ID,Endangered ,7000,Southeast Asia,-8.195, 124.484
Adzera,-6.25,146.25,Oceanic,Austronesian,PG,Vulnerable ,28900,Pacific,-6.39, 146.29
Aghul,41.75,47.6666666667,Lezgic,Nakh-Daghestanian,RU,Threatened ,18000,Caucasus;Europe;East Asia,41.75,47.6666666667
Aguaruna,-5.0,-78.0,Jivaroan,Jivaroan,PE,Vulnerable ,55000,South America,-5.0,-78.0
Alagwa,-5.5,35.75,Southern Cushitic,Afro-Asiatic,TZ,Threatened ,10000,Africa,-5.5,35.75
Arapaho,40.0,-103.0,Algonquian,Algic,US,Severely Endangered ,1000,North America,43.0139,-108.8214
Ahtna,62.0,-145.0,Athapaskan,Na-Dene,US,Critically Endangered ,30,North America,62.7547,-144.3164
Aja,7.333333333330001,25.6666666667,Kresh,Central Sudanic,CF SS,Endangered ,200,Africa,7.33333333333,25.6666666667
Aka,2.66666666667,16.25,Bantoid,Niger-Congo,CF CG,Endangered ,Afewhundred,Africa,11.0112,34.2333
Arikara,45.5,-100.5,Caddoan,Caddoan,US,Critically Endangered ,10,North America,47.648,-101.8327
Alamblak,-4.66666666667,143.33333333299998,Sepik Hill,Sepik,PG,Threatened ,1200,Pacific,-4.66, 143.32
Aleut,54.0,-166.0,Aleut,Eskimo-Aleut,US,Endangered ,70,Caucasus;Europe;North America;East Asia,54.7212,-164.4433
Alune,-3.0,128.33333333299998,Central Malayo-Polynesian,Austronesian,ID,Vulnerable ,17200,Southeast Asia,-3.0,128.333333333
Alutor,61.0,165.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,RU,Severely Endangered ,2000,Caucasus;Europe;East Asia,61.0,165.0
Alawa,-15.166666666700001,134.25,Alawa,Mangarrayi-Maran,AU,Critically Endangered ,17,Australia,-15.53391918,134.2028228
Amara,-5.666666666669999,148.5,Oceanic,Austronesian,PG,Endangered ,231,Pacific,-5.516550, 148.765182
Ambulas,-3.83333333333,143.0,Middle Sepik,Sepik,PG,Vulnerable ,33000,Pacific,-3.78, 143.06
Amahuaca,-10.5,-72.5,Panoan,Panoan,BR PE,Severely Endangered ,100,South America,-10.5,-72.5
Ama,-4.21666666667,141.616666667,Left May,Left May,PG,Vulnerable ,450,Pacific,-4.20, 141.66
Amanab,-3.58333333333,141.25,Border,Border,PG,Threatened ,3500,Southeast Asia;Pacific,-3.55, 141.18
Amuesha,-10.5,-75.4166666667,Yanesha',Arawakan,PE,Threatened ,8000,South America,-10.5,-75.4166666667
Araona,-12.333333333299999,-67.75,Tacanan,Tacanan,BO,Endangered ,111,South America,-12.4473,-68.1372
Anindilyakwa,-14.0,136.5,Anindilyakwa,Gunwinyguan,AU,Threatened ,1500,Australia,-14.05312996,136.6124148
Anong,27.3333333333,98.75,Nungish,Sino-Tibetan,CN MM,Critically Endangered ,404040inChina,Southeast Asia;East Asia,27.100, 98.700
Andi,42.75,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,RU,Vulnerable ,10000,Caucasus;Europe;East Asia,42.75,46.25
Mufian,-3.5,143.0,Kombio-Arapesh,Torricelli,PG,Vulnerable ,10646,Pacific,-3.58, 142.96
Apinayé,-5.5,-48.0,Ge-Kaingang,Macro-Ge,BR,Threatened ,1500,South America,-5.5,-48.0
Apalaí,0.0,-54.0,Cariban,Cariban,BR,Endangered ,317,South America,0.0,-54.0
Apatani,27.5,93.75,Tani,Sino-Tibetan,IN,Vulnerable ,14000,South Asia,27.5,93.75
Arabela,-2.0,-75.1666666667,Zaparoan,Zaparoan,PE,Critically Endangered ,30,South America,-2.0,-75.1666666667
Archi,42.0,46.8333333333,Lezgic,Nakh-Daghestanian,RU,Threatened ,1237,Caucasus;Europe;East Asia,42.0,46.8333333333
Araki,-15.666666666700001,166.91666666700002,Oceanic,Austronesian,VU,Critically Endangered ,15,Pacific,-15.632, 166.952
Asturian,43.25,-6.0,Romance,Indo-European,ES,At risk ,110000,Europe,43.357138,-5.865532
Alutiiq,57.0,-157.0,Eskimo,Eskimo-Aleut,US,Severely Endangered ,200,North America,57.793056, -152.394167
Atsugewi,40.75,-121.0,Palaihnihan,Hokan,US,Dormant ,0,North America,40.75,-121.0
Au,-3.58333333333,142.08333333299998,Wapei-Palei,Torricelli,PG,Threatened ,4200,Pacific,-3.6, 142.1
Aulua,-16.3333333333,167.66666666700002,Oceanic,Austronesian,VU,Endangered ,750,Pacific,-16.36, 167.70
Awngi,10.833333333299999,36.6666666667,Central Cushitic,Afro-Asiatic,ET,At risk ,500000,Africa,,
Awa Pit,1.5,-78.25,Barbacoan,Barbacoan,EC CO,Vulnerable ,17464,South America,1.5,-78.25
Awtuw,-3.58333333333,142.0,Ram,Sepik,PG,Endangered ,400,Pacific,-3.58, 142.50
Awyi,-2.91666666667,140.58333333299998,Border,Border,ID,Endangered ,400,Southeast Asia,-2.91666666667, 140.583333333
Akhvakh,42.3333333333,46.3333333333,Avar-Andic-Tsezic,Nakh-Daghestanian,RU,Threatened ,5000,Caucasus;Europe;East Asia,42.3333333333,46.3333333333
Ayoreo,-20.25,-59.25,Zamucoan,Zamucoan,PY,Threatened ,3154,South America,-18.719,-59.6228
Bade,12.833333333299999,10.5,West Chadic,Afro-Asiatic,NG,At risk ,250000,Africa,12.8333333333,10.5
Baré,1.0,-67.0,Inland Northern Arawakan,Arawakan,VR BR,Critically Endangered ,2,South America,1.0,-67.0
Bai,26.0,100.0,Bai,Sino-Tibetan,CN,Threatened ,2500,Africa,8.0592,25.5102
Bana,10.4166666667,13.583333333299999,Biu-Mandara,Afro-Asiatic,CM,Vulnerable ,23000,Africa,10.4166666667,13.5833333333
Baure,-13.083333333299999,-64.1666666667,Bolivia-Parana,Arawakan,BO,Critically Endangered ,20,South America,-13.0833333333,-64.1666666667
Batak,10.25,119.083333333,Greater Central Philippine,Austronesian,PH,Endangered ,200,Southeast Asia,,
Barambu,3.5,27.0,Ubangi,Niger-Congo,CD,Vulnerable ,25600,Africa,3.5,27.0
Budukh,41.1666666667,48.4166666667,Lezgic,Nakh-Daghestanian,AZ,Threatened ,,Caucasus,41.1666666667,48.4166666667
Badimaya,-27.6666666667,118.0,Western Pama-Nyungan,Pama-Nyungan,AU,Dormant ,0,Australia,-29.123373,116.706047
Bezhta,42.0833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,RU,Threatened ,6200,Caucasus;Europe;East Asia,42.1369,46.1508
Biafada,11.416666666700001,-15.166666666700001,Northern Atlantic,Niger-Congo,GW,Vulnerable ,44900,Africa,11.537292, -15.227014
Benga,1.16666666667,9.416666666669999,Bantoid,Niger-Congo,GQ GA,Severely Endangered ,,Africa,1.16666666667,9.41666666667
Bangime,14.916666666700001,-3.83333333333,Bangime,Bangime,ML,Threatened ,1200,Africa,,
Bugun,27.5,92.5833333333,Western Arunachal,Sino-Tibetan,IN,Threatened ,1700,South Asia,27.2546,92.5323
Bongo,7.5,28.5,Bongo-Bagirmi,Central Sudanic,SS,Vulnerable ,10100,Africa,7.5,28.5
Baga Sitemu,10.5,-14.5,Mel,Niger-Congo,GN,Threatened ,4000,Africa,10.5,-14.5
Bagvalal,42.5833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,RU,Threatened ,4000,Caucasus;Europe;East Asia,42.5833333333,46.1666666667
Bahinemo,-4.58333333333,142.83333333299998,Sepik Hill,Sepik,PG,Vulnerable ,700,Pacific,-4.56, 142.83
Bhumij,21.3333333333,86.5,Munda,Austro-Asiatic,IN,At risk ,over100000,South Asia,22.552,85.804
Biri,-20.5,146.5,Northern Pama-Nyungan,Pama-Nyungan,AU,Awakening ,,Australia,-28.478349,115.462875
Biak,-1.0,136.0,South Halmahera - West New Guinea,Austronesian,ID,Severely Endangered ,70000,Southeast Asia,-1.036, 136.01
Bilua,-7.75,156.66666666700002,Bilua,Solomons East Papuan,SB,Threatened ,8740,Pacific,-7.748003,156.660565
Bima,-8.5,118.5,Central Malayo-Polynesian,Austronesian,ID,At risk ,5000001989,Southeast Asia,,
Nai,-3.71666666667,141.266666667,Kwomtari,Kwomtari-Baibai,PG,Endangered ,454,Pacific,-3.73, 141.27
Bisu,19.75,100.0,Burmese-Lolo,Sino-Tibetan,TH,Threatened ,2740,Southeast Asia;East Asia,19.75,100.0
Betta Kurumba,11.5,76.75,Southern Dravidian,Dravidian,IN,Threatened ,2000,South Asia,11.5,76.75
Bakairí,-14.0,-55.0,Cariban,Cariban,BR,Endangered ,900,South America,-14.0,-55.0
Brokskat,35.3333333333,76.5,Indic,Indo-European,IN PK,Threatened ,3000,South Asia,35.3333333333,76.5
Blackfoot,50.0,-112.666666667,Algonquian,Algic,US CA,Endangered ,3300,North America,48.5699,-113.0918
Baale,6.5,34.5,Surmic,Eastern Sudanic,SS,Threatened ,9000,Africa,,
Balti,35.0,76.0,Bodic,Sino-Tibetan,PK IN,At risk ,270000Pakistan337000Worldwide,South Asia,35.900731,74.409599
Banawá,-7.0,-65.0,Arauan,Arauan,BR,Endangered ,100,South America,,
Bunuba,-17.75,125.75,Bunuban,Bunuban,AU,Critically Endangered ,,Australia,-17.69419801,125.5950823
Bandjalang,-28.75,153.0,Southeastern Pama-Nyungan,Pama-Nyungan,AU,Severely Endangered ,afew,Australia,-28.617377, 153.004160
Bankon,4.41666666667,9.583333333330001,Bantoid,Niger-Congo,CM,Vulnerable ,12000,Africa,4.41666666667,9.58333333333
Bilinarra,-16.0,131.66666666700002,Western Pama-Nyungan,Pama-Nyungan,AU,Severely Endangered ,10,Australia,-17.26732129,130.8928481
Baniwa,2.66666666667,-66.8333333333,Alto-Orinoco,Arawakan,BR VR,Threatened ,9554,South America,2.66666666667,-66.8333333333
Bodo,26.8333333333,92.0,Bodo-Garo,Sino-Tibetan,IN,Severely Endangered ,15,Africa,,
Boiken,-3.5,143.5,Middle Sepik,Sepik,PG,Vulnerable ,35204,Pacific,-3.25, 143.25
Bori,28.3333333333,94.75,Tani,Sino-Tibetan,IN,Threatened ,2000,South Asia,28.9889, 94.4439
Bokar,28.5,94.6666666667,Tani,Sino-Tibetan,IN,Threatened ,3500,South Asia;East Asia,28.8735, 94.3807
Bora,-2.16666666667,-72.3333333333,Boran,Huitotoan,PE CO,Severely Endangered ,2000,South America,-2.16666666667,-72.3333333333
Boruca,8.833333333330001,-83.25,Talamanca,Chibchan,CR,Awakening ,,"Mexico, Central America, Caribbean",8.83333333333,-83.25
Bardi,-16.5833333333,122.916666667,Nyulnyulan,Nyulnyulan,AU,Critically Endangered ,5,Australia,-16.50302678,122.9331577
Breton,48.0,-3.0,Celtic,Indo-European,FR,At risk ,206000,Europe,48.0,-3.0
Bribri,9.416666666669999,-83.0,Talamanca,Chibchan,CR,Threatened ,7475,"Mexico, Central America, Caribbean",9.41666666667,-83.0
Burji,5.5,37.8333333333,Lowland East Cushitic,Afro-Asiatic,ET,Vulnerable ,46100,Africa,5.5,37.8333333333
Burunge,-5.33333333333,36.0,Southern Cushitic,Afro-Asiatic,TZ,Endangered ,Afewhundred,Africa,-5.33333333333,36.0
Bororo,-16.0,-57.0,Bororoan,Bororoan,BR,Endangered ,700,South America,-16.0,-57.0
Barasano,-0.166666666667,-70.6666666667,Tucanoan,Tucanoan,CO,Threatened ,1924,South America,-0.166666666667,-70.6666666667
Birri,5.5,25.1666666667,Bongo-Bagirmi,Central Sudanic,CF,Endangered ,200,Africa,5.5,25.1666666667
Burarra,-12.25,134.58333333299998,Burarran,Mangrida,AU,Endangered ,400,Australia,-12.02334685,134.7195148
Buduma,13.5,14.5,Biu-Mandara,Afro-Asiatic,TD NG CM,Vulnerable ,54800,Africa,13.5,14.5
Burushaski,36.5,74.5,Burushaski,Burushaski,PK,Threatened ,100300,South Asia,36.3294753, 74.6605365
Busa,9.666666666669999,4.0,Eastern Mande,Mande,NG,Endangered ,240,Pacific,-3.86, 141.42
Bulu,3.0,11.0,Bantoid,Niger-Congo,CM,Endangered ,910,Pacific,-5.052719,150.092506
Bayso,6.25,37.75,Lowland East Cushitic,Afro-Asiatic,ET,Threatened ,3200,Africa,6.25,37.75
Cabécar,9.75,-83.4166666667,Talamanca,Chibchan,CR,Threatened ,8441,"Mexico, Central America, Caribbean",9.75,-83.4166666667
Caddo,33.3333333333,-93.5,Caddoan,Caddoan,US,Critically Endangered ,25,North America,35.0985,-98.2603
Cahuilla,33.5,-116.25,California Uto-Aztecan,Uto-Aztecan,US,Critically Endangered ,6,North America,33.5404,-116.7436
Camsá,1.16666666667,-77.0,Camsá,Camsá,CO,Threatened ,4773,South America,1.16666666667,-77.0
Candoshi,-4.16666666667,-77.0,Candoshi,Candoshi,PE,Threatened ,1586,South America,-4.16666666667,-77.0
Cashibo,-8.5,-75.5,Panoan,Panoan,PE,Threatened ,2191,South America,-8.5,-75.5
Cavineña,-13.333333333299999,-66.5,Tacanan,Tacanan,BO,Endangered ,600,South America,-12.3829,-66.7419
Chácobo,-12.166666666700001,-66.75,Panoan,Panoan,BO,Vulnerable ,1000,South America,-11.3454,-65.8135
Chocho,17.6666666667,-97.4166666667,Popolocan,Oto-Manguean,MX,Vulnerable ,12554,"Mexico, Central America, Caribbean",17.6666666667,-97.4166666667
Chickasaw,34.0,-88.0,Muskogean,Muskogean,US,Endangered ,600,North America,34.6,-96.8161
Choctaw,32.25,-88.5,Muskogean,Muskogean,US,Vulnerable ,9000,North America,31.6822,-92.1252
Chamorro,13.45,144.75,Chamorro,Austronesian,GU,Vulnerable ,92700,Pacific,13.45,144.75
Chambri,-4.16666666667,143.08333333299998,Lower Sepik,Lower Sepik-Ramu,PG,Threatened ,1050,Pacific,-4.28, 143.10
Chaudangsi,30.0,80.25,Bodic,Sino-Tibetan,IN,Endangered ,3500,South Asia,29.70, 80.48
Chuj,15.916666666700001,-91.5833333333,Mayan,Mayan,GT,Vulnerable ,38253,"Mexico, Central America, Caribbean",16.1203, -92.0407
Chukchi,67.0,-173.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,RU,Threatened ,11000,Caucasus;Europe;East Asia,67.0,-173.0
Chamalal,42.55,46.05,Avar-Andic-Tsezic,Nakh-Daghestanian,RU,Threatened ,4000,Caucasus;Europe;East Asia,42.55,46.05
Chantyal,28.5833333333,83.4166666667,Bodic,Sino-Tibetan,NP,Threatened ,2000MyagdiChantyal,South Asia,28.5833333333,83.4166666667
Chipewyan,59.0,-106.0,Athapaskan,Na-Dene,CA,Threatened ,2235,North America,56.4807,-109.4127
Chrau,10.75,107.5,Bahnaric,Austro-Asiatic,VN,Vulnerable ,15000,Southeast Asia,10.75,107.5
Chayahuita,-5.5,-77.0,Cahuapanan,Cahuapanan,PE,Vulnerable ,14000,South America,-5.5,-77.0
Chichimeca-Jonaz,21.6666666667,-100.5,Chichimec,Oto-Manguean,MX,Threatened ,1582,"Mexico, Central America, Caribbean",21.6666666667,-100.5
Chulym,54.3333333333,89.6666666667,Turkic,Altaic,RU,Severely Endangered ,35,Caucasus;Europe;East Asia,54.3333333333, 89.6666666667
Chimila,10.0,-74.0,Chimila,Chibchan,CO,Endangered ,900,South America,10.0,-74.0
Camling,27.0,86.6666666667,Mahakiranti,Sino-Tibetan,NP,Vulnerable ,30000,South Asia,27.0,86.6666666667
Comanche,33.5,-101.5,Numic,Uto-Aztecan,US,Severely Endangered ,100,North America,34.6086,-98.3904
Canela,-7.0,-45.0,Ge-Kaingang,Macro-Ge,BR,Threatened ,2502,South America,-7.0,-45.0
Coeur d'Alene,47.25,-116.5,Interior Salish,Salishan,US,Critically Endangered ,2,North America,47.337601, -116.887883
Cofán,0.166666666667,-77.1666666667,Cofán,Cofán,CO EC,Threatened ,1017,South America,0.166666666667,-77.1666666667
Cogui,11.0,-73.8333333333,Arhuacic,Chibchan,CO,Threatened ,9911,South America,11.0,-73.8333333333
Chol,17.75,-92.5,Mayan,Mayan,MX,At risk ,128240,"Mexico, Central America, Caribbean",17.49, -92.47
Cora,22.1666666667,-104.833333333,Corachol,Uto-Aztecan,MX,Vulnerable ,17086,"Mexico, Central America, Caribbean",22.014361,-104.811402
Chepang,27.6666666667,84.75,Mahakiranti,Sino-Tibetan,NP,Vulnerable ,25097,South Asia,27.6666666667,84.75
Chipaya,-18.75,-67.8333333333,Uru-Chipaya,Uru-Chipaya,BO,Threatened ,1625,South America,-19.2074,-68.2031
Chiquitano,-17.5,-60.0,Chiquito,Chiquito,BO,Threatened ,4665,South America,-16.7, -61.4
Chru,11.5,108.5,Malayo-Sumbawan,Austronesian,VN,Threatened ,11000,Southeast Asia,,
Carijona,1.0,-73.0,Cariban,Cariban,CO,Critically Endangered ,10,South America,1.0,-72.0
Carolinian,15.2,145.75,Oceanic,Austronesian,MP,Threatened ,3100,Pacific,15.2,145.75
Cornish,50.3333333333,-5.0,Celtic,Indo-European,GB,Awakening ,,Europe,50.3333333333,-5.0
Crow,47.0,-108.0,Core Siouan,Siouan,US,Threatened ,3000,North America,45.5963,-107.4613
Carapana,0.833333333333,-70.75,Tucanoan,Tucanoan,CO BR,Endangered ,527,South America,0.833333333333,-70.75
Chorote,-22.5,-62.5,Matacoan,Matacoan,BO AR PY,Threatened ,2057,South America,-24.287, -60.3808
Cashinahua,-10.5,-71.8333333333,Panoan,Panoan,BR PE,Threatened ,5253,South America,-10.5,-71.8333333333
Cuicatec,17.8333333333,-96.8333333333,Mixtecan,Oto-Manguean,MX,Threatened ,1641,"Mexico, Central America, Caribbean",,
Chitimacha,29.6666666667,-91.0,Chitimacha,Chitimacha,US,Awakening ,,North America,29.6666666667,-91.0
Catawba,35.5,-80.5,Catawban,Siouan,US,Awakening ,,North America,35.5,-80.5
Culina,-6.0,-70.5,Arauan,Arauan,BR PE,Threatened ,2854,South America,-6.0,-70.5
Cupeño,33.1666666667,-116.5,California Uto-Aztecan,Uto-Aztecan,US,Awakening ,,North America,33.1666666667,-116.5
Curripaco,2.5,-68.5,Inland Northern Arawakan,Arawakan,CO,Vulnerable ,12075,South America,2.5,-68.5
Cayuga,42.75,-76.75,Northern Iroquoian,Iroquoian,US,Severely Endangered ,100,North America,43.019,-80.1506
Cheyenne,47.0,-95.0,Algonquian,Algic,US,Endangered ,2100,North America,45.5495,-106.5263
Cayuvava,-13.5,-65.5,Cayuvava,Cayuvava,BO,Dormant ,Noknownspeakers,South America,-12.7903,-65.3247
Daba,10.1666666667,13.75,Biu-Mandara,Afro-Asiatic,CM,Vulnerable ,25000,Africa,10.1666666667,13.75
Dahalo,-2.33333333333,40.5,Dahalo,Afro-Asiatic,KE,Endangered ,400,Africa,-2.167909, 40.716019
